,,0,1
7,-11,19.793209937267637,-2.0527567162810825
9,10,-10.0,19.99702684814592
8,12,-9.999999999999895,0.0
2,-9,-17.521087224638826,-17.521962035576834
2,3,-9.999521245083123,19.266972596911874
0,7,-10.0,-9.9968
1,-5,-19.49999999999782,-19.499999961088005
0,-6,-9.99999995904,-10.0
10,7,-8.0,19.96784267937819
9,9,-10.000007504076736,19.997404662836896
1,-1,-18.225285402270433,19.850486748489793
1,0,-19.244820695070153,19.872947230776955
8,0,19.600492051275566,19.887899921182605
4,-4,19.850084568948567,19.72182553105224
4,11,-8.0,-1.969600512
4,6,-16.898136794892988,-11.53568832226423
3,5,-23.895048934523686,-9.199081976102846
8,7,14.997394243734819,19.884228664359796
5,8,-10.846538404912643,-4.918648477659638
8,6,19.031565865622333,19.929915625627387
8,11,-9.999998976,-2.5142704775943674
8,-12,19.967977535047993,-0.42043356673338494
7,-12,-1.960138474282078,-2.031444027615226
6,-12,-4.8880935424382015,-3.2134281249862533
7,-3,19.812707481610556,19.894225329558793
9,-12,14.954120640576967,19.997046558865797
10,-6,19.88139211146579,19.880912479861134
3,-1,-2.9820268803336667,19.859531454390535
11,0,19.85392488410938,19.82206522505365
10,-1,17.9976434430227,19.899524859165776
0,10,-10.0,-9.6
9,11,-10.0,-4.894162508387086
9,12,-9.9999999983616,0.0
6,-9,18.3522160238485,-2.527549875420892
3,-8,19.38919396239235,-15.626861243636124
1,9,-10.0,-19.2256
10,-5,19.863004614230306,19.197881496189005
1,12,-9.99999999967232,0.0
8,10,-9.999977049330875,-5.256090047021356
7,10,-9.999872,-5.6809027640802245
6,9,-9.568,-5.01226474826165
5,10,-8.0,0.8
0,12,-10.0,0.0
3,8,-17.128479546575658,-7.104716316355922
5,12,-8.0,0.0
11,6,0.0,11.418094389681006
10,5,17.798997139062315,0.0
5,9,-10.04637507275032,-9.086281754278447
8,-10,15.977289149091526,19.842873233124852
11,-5,19.198996242597524,19.94175818694542
3,9,-10.258769109937512,-7.275101534254354
7,11,-9.6,-4.093776588590547
6,12,-8.0,0.0
2,12,-9.9968,0.0
5,-12,-6.113568510943177,-4.435187499999998
10,6,-7.263515196552269,19.195245399668437
4,10,-12.41769025536,-7.2777298996956095
3,11,-9.99936,-7.201923669925299
10,8,7.199767571460104,0.0
4,12,-9.6,0.0
5,11,-9.6,-5.0721873821695995
10,4,11.199627072292332,19.9935047180251
6,11,-9.984,0.0
