,Rewards,Score,Episode_Length
577,61,6,72
578,516,52,527
579,279,28,290
580,51,5,62
581,53,6,64
582,101,10,112
583,20,2,31
584,198,20,209
585,130,13,141
586,81,8,92
587,1,0,12
588,180,18,191
589,570,57,581
590,241,24,252
591,11,1,22
592,0,0,11
593,-8,0,3
594,11,1,22
595,101,10,112
596,211,21,222
597,121,12,132
598,67,7,78
599,51,5,62
600,211,21,222
601,301,30,312
602,521,52,532
603,31,3,42
604,261,26,272
605,48,5,59
606,225,23,236
607,31,3,42
608,11,1,22
609,51,5,62
610,64,7,75
611,71,7,82
612,-4,0,7
613,68,7,79
614,99,10,110
615,57,6,68
616,241,24,252
617,21,2,32
618,141,14,152
619,54,6,65
620,313,32,324
621,261,26,272
622,11,1,22
623,791,79,802
624,51,5,62
625,111,11,122
626,101,10,112
627,63,7,74
628,31,3,42
629,171,17,182
630,141,14,152
631,124,13,135
632,103,11,114
633,161,16,172
634,4,1,15
635,21,2,32
636,101,10,112
637,31,3,42
638,121,12,132
639,141,14,152
640,1059,106,1070
641,11,1,22
642,51,5,62
643,151,15,162
644,171,17,182
645,93,10,104
646,321,32,332
647,1,0,12
648,18,2,29
649,231,23,242
650,11,1,22
651,151,15,162
652,40,4,51
653,21,2,32
654,29,3,40
655,27,3,38
656,49,5,60
657,191,19,202
658,87,9,98
659,1,0,12
660,141,14,152
661,21,2,32
662,41,4,52
663,91,9,102
664,11,1,22
665,123,13,134
666,-3,0,8
667,31,3,42
668,131,13,142
669,61,6,72
670,21,2,32
671,301,30,312
672,41,4,52
673,27,3,38
674,191,19,202
675,223,23,234
676,151,15,162
677,341,34,352
678,8,1,19
679,99,10,110
680,14,2,25
681,61,6,72
682,70,7,81
683,451,45,462
684,301,30,312
685,381,38,392
686,171,17,182
687,161,16,172
688,1,0,12
689,131,13,142
690,2,0,13
691,111,11,122
692,148,15,159
693,53,6,64
694,191,19,202
695,361,36,372
696,21,2,32
697,11,1,22
698,111,11,122
699,12,1,23
700,10,1,21
701,121,12,132
702,141,14,152
703,1,0,12
704,241,24,252
705,89,9,100
706,261,26,272
707,191,19,202
708,51,5,62
709,11,1,22
710,295,30,306
711,80,8,91
712,111,11,122
713,145,15,156
714,101,10,112
715,207,21,218
716,91,9,102
717,391,39,402
718,31,3,42
719,631,63,642
720,121,12,132
721,276,28,287
722,131,13,142
723,57,6,68
724,61,6,72
725,121,12,132
726,361,36,372
727,21,2,32
728,206,21,217
729,41,4,52
730,121,12,132
731,147,15,158
732,4,1,15
733,211,21,222
734,41,4,52
735,122,12,133
736,1,0,12
737,281,28,292
738,121,12,132
739,61,6,72
740,111,11,122
741,21,2,32
742,288,29,299
743,71,7,82
744,178,18,189
745,21,2,32
746,157,16,168
747,141,14,152
748,160,16,171
749,120,12,131
750,1,0,12
751,51,5,62
752,253,26,264
753,111,11,122
754,281,28,292
755,3,1,14
756,388,39,399
757,211,21,222
758,31,3,42
759,458,46,469
760,171,17,182
761,21,2,32
762,128,13,139
763,0,0,11
764,64,7,75
765,31,3,42
766,83,9,94
767,481,48,492
768,161,16,172
769,333,34,344
770,351,35,362
771,80,8,91
772,161,16,172
773,73,8,84
774,403,41,414
775,341,34,352
776,344,35,355
777,91,9,102
778,31,3,42
779,188,19,199
780,191,19,202
781,450,45,461
782,151,15,162
783,421,42,432
784,40,4,51
785,211,21,222
786,408,41,419
787,73,8,84
788,231,23,242
789,189,19,200
790,101,10,112
791,161,16,172
792,441,44,452
793,191,19,202
794,141,14,152
795,31,3,42
796,611,61,622
797,41,4,52
798,41,4,52
799,201,20,212
800,10,1,21
801,1163,117,1174
802,201,20,212
803,129,13,140
804,-8,0,3
805,71,7,82
806,421,42,432
807,53,6,64
808,61,6,72
809,344,35,355
810,121,12,132
811,51,5,62
812,63,7,74
813,114,12,125
814,161,16,172
815,71,7,82
816,231,23,242
817,63,7,74
818,-8,0,3
819,101,10,112
820,21,2,32
821,63,7,74
822,11,1,22
823,11,1,22
824,81,8,92
825,101,10,112
826,101,10,112
827,27,3,38
828,130,13,141
829,271,27,282
830,171,17,182
831,111,11,122
832,234,24,245
833,208,21,219
834,185,19,196
835,195,20,206
836,450,45,461
837,94,10,105
838,71,7,82
839,200,20,211
840,3,1,14
841,161,16,172
842,231,23,242
843,60,6,71
844,581,58,592
845,321,32,332
846,37,4,48
847,411,41,422
848,89,9,100
849,21,2,32
850,10,1,21
851,92,9,103
852,421,42,432
853,311,31,322
854,163,17,174
855,181,18,192
856,61,6,72
857,334,34,345
858,61,6,72
859,481,48,492
860,889,89,900
861,122,12,133
862,171,17,182
863,82,8,93
864,181,18,192
865,31,3,42
866,1,0,12
867,31,3,42
868,221,22,232
869,1,0,12
870,81,8,92
871,261,26,272
872,2,0,13
873,131,13,142
874,81,8,92
875,1,0,12
876,101,10,112
877,292,29,303
878,21,2,32
879,971,97,982
880,251,25,262
881,171,17,182
882,261,26,272
883,11,1,22
884,274,28,285
885,91,9,102
886,51,5,62
887,746,75,757
888,234,24,245
889,271,27,282
890,180,18,191
891,89,9,100
892,181,18,192
893,62,6,73
894,121,12,132
895,1,0,12
896,91,9,102
897,21,2,32
898,320,32,331
899,242,24,253
900,171,17,182
901,351,35,362
902,111,11,122
903,101,10,112
904,-1,0,10
905,-3,0,8
906,51,5,62
907,1,0,12
908,281,28,292
909,41,4,52
910,16,2,27
911,55,6,66
912,136,14,147
913,301,30,312
914,41,4,52
915,30,3,41
916,10,1,21
917,21,2,32
918,211,21,222
919,21,2,32
920,131,13,142
921,72,7,83
922,361,36,372
923,78,8,89
924,71,7,82
925,116,12,127
926,15,2,26
927,131,13,142
928,131,13,142
929,13,2,24
930,31,3,42
931,5,1,16
932,9,1,20
933,71,7,82
934,41,4,52
935,71,7,82
936,21,2,32
937,51,5,62
938,31,3,42
939,71,7,82
940,111,11,122
941,81,8,92
942,81,8,92
943,81,8,92
944,21,2,32
945,-3,0,8
946,71,7,82
947,67,7,78
948,34,4,45
949,45,5,56
950,10,1,21
951,11,1,22
952,25,3,36
953,283,29,294
954,41,4,52
955,81,8,92
956,341,34,352
957,51,5,62
958,45,5,56
959,122,12,133
960,331,33,342
961,-1,0,10
962,1,0,12
963,1,0,12
964,91,9,102
965,141,14,152
966,81,8,92
967,94,10,105
968,148,15,159
969,11,1,22
970,181,18,192
971,111,11,122
972,24,3,35
973,91,9,102
974,47,5,58
975,1,0,12
976,131,13,142
977,11,1,22
978,146,15,157
979,73,8,84
980,21,2,32
981,31,3,42
982,251,25,262
983,41,4,52
984,139,14,150
985,6,1,17
986,161,16,172
987,140,14,151
988,1,0,12
