,Rewards,Score,Episode_Length
644,31,3,42
645,11,1,22
646,21,2,32
647,139,14,150
648,59,6,70
649,183,19,194
650,6,1,17
651,101,10,112
652,31,3,42
653,64,7,75
654,61,6,72
655,353,36,364
656,241,24,252
657,98,10,109
658,572,57,583
659,151,15,162
660,362,36,373
661,251,25,262
662,17,2,28
663,21,2,32
664,441,44,452
665,187,19,198
666,9,1,20
667,27,3,38
668,48,5,59
669,338,34,349
670,111,11,122
671,8,1,19
672,391,39,402
673,381,38,392
674,1121,112,1132
675,1425,143,1436
676,164,17,175
677,1,0,12
678,412,41,423
679,111,11,122
680,361,36,372
681,2,0,13
682,22,2,33
683,33,4,44
684,53,6,64
685,12,1,23
686,2,0,13
687,2,0,13
688,112,11,123
689,31,3,42
690,138,14,149
691,309,31,320
692,85,9,96
693,441,44,452
694,112,11,123
695,1431,143,1442
696,451,45,462
697,267,27,278
698,247,25,258
699,67,7,78
700,15,2,26
701,177,18,188
702,7,1,18
703,57,6,68
704,471,47,482
705,39,4,50
706,600,60,611
707,68,7,79
708,91,9,102
709,218,22,229
710,8,1,19
711,50,5,61
712,151,15,162
713,258,26,269
714,106,11,117
715,135,14,146
716,801,80,812
717,383,39,394
718,81,8,92
719,252,25,263
720,180,18,191
721,272,27,283
722,41,4,52
723,518,52,529
724,158,16,169
725,18,2,29
726,98,10,109
727,436,44,447
728,11,1,22
729,98,10,109
730,-8,0,3
731,121,12,132
732,21,2,32
733,198,20,209
734,208,21,219
735,81,8,92
736,358,36,369
737,168,17,179
738,58,6,69
739,357,36,368
740,171,17,182
741,10,1,21
742,517,52,528
743,401,40,412
744,381,38,392
745,38,4,49
746,261,26,272
747,51,5,62
748,51,5,62
749,191,19,202
750,21,2,32
751,11,1,22
752,246,25,257
753,71,7,82
754,48,5,59
755,48,5,59
756,-5,0,6
757,11,1,22
758,81,8,92
759,217,22,228
760,-5,0,6
761,41,4,52
762,11,1,22
763,1,0,12
764,11,1,22
765,41,4,52
766,-5,0,6
767,68,7,79
768,162,16,173
769,97,10,108
770,58,6,69
771,131,13,142
772,11,1,22
773,1,0,12
774,41,4,52
775,531,53,542
776,60,6,71
777,1,0,12
778,31,3,42
779,21,2,32
780,1,0,12
781,31,3,42
782,9,1,20
783,6,1,17
784,196,20,207
785,141,14,152
786,211,21,222
787,741,74,752
788,-8,0,3
789,601,60,612
790,441,44,452
791,671,67,682
792,371,37,382
793,153,16,164
794,333,34,344
795,81,8,92
796,46,5,57
797,81,8,92
798,641,64,652
799,11,1,22
800,321,32,332
801,396,40,407
802,91,9,102
803,601,60,612
804,41,4,52
805,101,10,112
806,151,15,162
807,201,20,212
808,141,14,152
809,91,9,102
810,11,1,22
811,41,4,52
812,391,39,402
813,459,46,470
814,571,57,582
815,119,12,130
816,403,41,414
817,23,3,34
818,178,18,189
819,231,23,242
820,151,15,162
821,181,18,192
822,81,8,92
823,341,34,352
824,543,55,554
825,94,10,105
826,85,9,96
827,51,5,62
828,9,1,20
829,81,8,92
830,17,2,28
831,176,18,187
832,119,12,130
833,66,7,77
834,161,16,172
835,16,2,27
836,76,8,87
837,290,29,301
838,213,22,224
839,19,2,30
840,22,2,33
841,881,88,892
842,311,31,322
843,131,13,142
844,41,4,52
845,81,8,92
846,11,1,22
847,61,6,72
848,41,4,52
849,11,1,22
850,11,1,22
851,11,1,22
852,172,17,183
853,21,2,32
854,59,6,70
855,14,2,25
856,82,8,93
857,191,19,202
858,22,2,33
859,2,0,13
860,5,1,16
861,62,6,73
862,62,6,73
863,31,3,42
864,131,13,142
865,661,66,672
866,312,31,323
867,2,0,13
868,1,0,12
869,1071,107,1082
870,1,0,12
871,255,26,266
872,325,33,336
873,261,26,272
874,71,7,82
875,-5,0,6
876,46,5,57
877,1576,158,1587
878,571,57,582
879,396,40,407
880,314,32,325
881,751,75,762
882,111,11,122
883,191,19,202
884,611,61,622
885,81,8,92
886,171,17,182
887,151,15,162
888,11,1,22
889,641,64,652
890,161,16,172
891,571,57,582
892,211,21,222
893,483,49,494
894,91,9,102
895,21,2,32
896,51,5,62
897,1,0,12
898,41,4,52
899,111,11,122
900,51,5,62
901,1,0,12
902,151,15,162
903,301,30,312
904,1286,129,1297
905,74,8,85
906,1061,106,1072
907,41,4,52
908,1301,130,1312
909,258,26,269
910,204,21,215
911,833,84,844
912,2,0,13
913,222,22,233
914,911,91,922
915,72,7,83
916,6,1,17
917,428,43,439
918,78,8,89
919,242,24,253
920,46,5,57
921,51,5,62
922,1,0,12
923,1,0,12
924,31,3,42
925,241,24,252
926,521,52,532
927,124,13,135
928,201,20,212
929,161,16,172
930,24,3,35
931,91,9,102
932,51,5,62
933,541,54,552
934,338,34,349
935,346,35,357
936,391,39,402
937,387,39,398
938,376,38,387
939,238,24,249
940,56,6,67
941,403,41,414
942,1701,170,1712
943,241,24,252
944,4,1,15
945,51,5,62
946,294,30,305
947,421,42,432
948,51,5,62
949,281,28,292
950,218,22,229
951,71,7,82
952,91,9,102
953,2,0,13
954,31,3,42
955,47,5,58
956,21,2,32
957,101,10,112
958,11,1,22
959,31,3,42
960,41,4,52
961,10,1,21
962,91,9,102
963,34,4,45
964,71,7,82
965,121,12,132
966,1,0,12
967,18,2,29
968,41,4,52
969,14,2,25
970,81,8,92
971,73,8,84
972,66,7,77
973,344,35,355
974,713,72,724
975,151,15,162
976,121,12,132
977,523,53,534
978,131,13,142
979,643,65,654
980,83,9,94
981,111,11,122
982,506,51,517
983,906,91,917
984,11,1,22
985,1011,101,1022
986,101,10,112
987,291,29,302
988,31,3,42
989,383,39,394
990,231,23,242
991,11,1,22
992,243,25,254
993,432,43,443
994,1563,157,1574
995,661,66,672
996,1923,193,1934
997,82,8,93
998,202,20,213
999,2,0,13
1000,143,15,154
1001,32,3,43
1002,471,47,482
1003,1019,102,1030
1004,1221,122,1232
1005,181,18,192
1006,51,5,62
1007,301,30,312
1008,891,89,902
1009,11,1,22
1010,1471,147,1482
1011,11,1,22
1012,201,20,212
1013,43,5,54
1014,401,40,412
1015,19,2,30
1016,55,6,66
1017,78,8,89
1018,-2,0,9
1019,484,49,495
1020,21,2,32
1021,421,42,432
1022,1092,109,1103
1023,315,32,326
1024,61,6,72
1025,722,72,733
1026,171,17,182
1027,401,40,412
1028,511,51,522
1029,232,23,243
1030,111,11,122
1031,11,1,22
1032,351,35,362
1033,136,14,147
1034,781,78,792
1035,281,28,292
1036,130,13,141
1037,411,41,422
1038,32,3,43
1039,2,0,13
1040,461,46,472
1041,271,27,282
1042,222,22,233
1043,358,36,369
1044,281,28,292
1045,9,1,20
1046,8,1,19
1047,41,4,52
1048,721,72,732
1049,43,5,54
1050,31,3,42
1051,121,12,132
1052,21,2,32
1053,1,0,12
1054,31,3,42
1055,1,0,12
1056,1,0,12
1057,261,26,272
1058,161,16,172
1059,221,22,232
1060,16,2,27
1061,81,8,92
1062,246,25,257
1063,201,20,212
1064,55,6,66
1065,3,1,14
1066,91,9,102
1067,143,15,154
1068,101,10,112
1069,113,12,124
1070,41,4,52
1071,31,3,42
1072,111,11,122
1073,31,3,42
1074,31,3,42
1075,21,2,32
1076,71,7,82
1077,21,2,32
1078,71,7,82
1079,631,63,642
1080,796,80,807
1081,326,33,337
1082,50,5,61
