,,0,1
10,-1,6.418461927299818,13.861312238856955
0,-6,-10.0,-10.0
9,-5,10.333300547382755,18.55009471185538
8,-6,11.874362835281008,14.628039345084519
7,-7,9.014952332034277,16.29790199512299
6,-6,8.414602745508486,0.7499807374172853
5,-3,-8.168410714641979,17.820637114276806
4,2,-9.36029467353764,8.754069172800765
3,1,-17.507474475854707,15.645319436877198
1,5,-11.839199966380033,-19.499999938700903
0,4,-10.0,-10.0
12,-6,0.0,18.706129642412016
11,-7,7.897709285935415,18.541435720309565
10,-8,0.0,17.811749209364915
9,-9,18.285566646624282,10.84318670304761
0,-10,-9.999998976,-9.9999997952
8,0,-4.239072582383816,17.80520507052944
7,3,-6.222268615157903,18.140214241985895
5,3,-9.704207616096541,18.388565913447703
4,6,-17.143511648703914,-10.50341012403038
3,11,-9.92,-9.6
1,1,-19.5,18.296268273135432
11,3,14.655108537470621,3.5520744680496072
0,0,2.424935027201144,18.73707785352499
0,3,-10.0,-10.0
12,-5,8.901966795680146,18.446955823276948
11,-3,7.937160574699259,16.537613720896776
10,-4,0.0,18.109680496365858
9,3,12.318665095681968,18.809477023834248
8,4,14.106960080144695,18.470985862396443
9,9,-11.6992,17.067618169388133
8,11,-9.99936,-8.25104689687424
2,-6,16.033566515888808,-17.517475399274325
1,-3,17.742905755623813,-19.5
1,-6,-19.499999999992347,-19.5
0,-3,-10.0,-10.0
12,4,16.171778200651037,5.7556908949213135
11,-4,0.0,7.134522348266104
10,-5,11.94792353708523,18.6032626129041
9,-4,11.627996283937197,17.690438039022045
8,-5,18.327669864511282,1.57087885734461
12,-2,11.21939317720792,17.714833723941968
5,1,6.503278719295892,1.446727791408418
9,10,-9.92,8.960856982183305
8,12,-9.984,-9.984
3,-1,-11.157500498177782,15.420576893225832
2,-2,-19.097602942296138,18.137876807087856
9,-3,4.305692844654988,16.918810437434953
8,-4,18.37267769587555,7.531159536895826
7,-5,17.741490741439343,14.544372413705933
5,-5,-3.1336353243926993,1.015498330603429
3,-5,18.528549290531714,-9.71068056274998
8,6,-8.011391769795145,18.220876746440474
6,4,-9.65558938475709,18.458716038601853
9,8,-10.455282866269787,18.260269740656405
8,10,-9.97874817253627,-5.902676845625317
2,-5,18.74283299159748,-17.524999997644443
0,-5,-10.0,-10.0
8,5,-9.099214310485465,18.030719533516955
2,-1,-25.06131371451825,18.4569924886705
1,-2,18.395962951131917,-19.5
1,-1,11.121755300500105,16.63086544360364
0,-2,18.02748563235726,13.226213691817875
9,5,-9.582258201158155,17.942484303992195
9,0,6.334121927949279,18.48233072242765
4,-10,8.651641067586137,-13.586182866502487
3,-9,4.759015225687961,-15.527079088722097
2,-10,-17.51648798302865,-17.51746699132928
1,-10,-19.4999964647424,-19.499998538366974
6,-4,17.89267650657643,0.5348650246890827
